"corpus_version","generated_at","license","methodology_url","id","slug","entityAId","entityBId","relationshipType","orientation","evidenceCategory","explanation","citationIds","reviewStatus","disputeStatus","lastReviewed"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:002","albert-king--christone-kingfish-ingram","entity:albert-king","entity:christone-kingfish-ingram","influenced_style","directed","contextual_or_inferential","Ingram's official biography names Albert King as one of the guitarists whose tones shaped his playing.","source:kingfish-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:001","bb-king--christone-kingfish-ingram","entity:bb-king","entity:christone-kingfish-ingram","influenced_style","directed","contextual_or_inferential","Ingram's official biography describes his guitar playing as steeped in B.B. King's tones.","source:kingfish-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:036","bb-king--dk-harrell","entity:bb-king","entity:dk-harrell","influenced_style","directed","contextual_or_inferential","Harrell's label biography documents his close study of B.B. King's tone, phrasing, stagecraft and band leadership.","source:dk-harrell-alligator","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:007","bb-king--joe-bonamassa","entity:bb-king","entity:joe-bonamassa","mentored","directed","directly_documented","Bonamassa directly identifies B.B. King as a mentor and traces their relationship to his childhood opening performance for King.","source:joe-bonamassa-bb-king-interview; source:joe-bonamassa-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:018","bessie-smith--koko-taylor","entity:bessie-smith","entity:koko-taylor","influenced_style","directed","contextual_or_inferential","The Blues Foundation identifies Bessie Smith among the strongest influences on Koko Taylor's singing.","source:koko-taylor-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:019","big-mama-thornton--koko-taylor","entity:big-mama-thornton","entity:koko-taylor","influenced_style","directed","contextual_or_inferential","The Blues Foundation identifies Big Mama Thornton among the strongest influences on Koko Taylor's singing.","source:koko-taylor-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:039","blind-willie-johnson--led-zeppelin","entity:blind-willie-johnson","entity:led-zeppelin","covered_work_by","directed","contextual_or_inferential","Led Zeppelin recorded Nobody's Fault but Mine, drawing from the song Blind Willie Johnson first recorded in 1927.","source:blind-willie-johnson-pitt-dissertation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:025","bonnie-raitt--sippie-wallace","entity:bonnie-raitt","entity:sippie-wallace","revived_or_reintroduced","directed","contextual_or_inferential","Bonnie Raitt recorded Wallace's songs, performed with her, and helped bring renewed attention to Wallace's work and later career.","source:sippie-wallace-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:014","buddy-guy--ally-venable","entity:buddy-guy","entity:ally-venable","recorded_with","symmetric","directly_documented","Buddy Guy joined Ally Venable for the recorded duet Texas Louisiana on her album Real Gone.","source:ally-venable-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:003","buddy-guy--christone-kingfish-ingram","entity:buddy-guy","entity:christone-kingfish-ingram","influenced_style","directed","contextual_or_inferential","Ingram's official biography identifies Buddy Guy's guitar vocabulary as a foundation of his own playing.","source:kingfish-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:009","cedric-burnside--rl-burnside","entity:cedric-burnside","entity:rl-burnside","performed_with","symmetric","directly_documented","Cedric Burnside's official biography records that he went on the road at thirteen as drummer for his grandfather R.L. Burnside.","source:cedric-burnside-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:016","christone-kingfish-ingram--ally-venable","entity:christone-kingfish-ingram","entity:ally-venable","recorded_with","symmetric","directly_documented","Christone “Kingfish” Ingram contributed guest guitar to Ally Venable's recorded track Bring on the Pain.","source:ally-venable-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:eric-clapton--yardbirds","eric-clapton--yardbirds","entity:eric-clapton","entity:yardbirds","member_of","directed","directly_documented","Eric Clapton's official biography states that the Yardbirds recruited him in October 1963 and describes an 18-month tenure.","source:eric-clapton-official-about","reviewed","none","2026-07-21"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:004","eric-gales--christone-kingfish-ingram","entity:eric-gales","entity:christone-kingfish-ingram","influenced_style","directed","directly_documented","In a direct interview, Ingram explains that watching Eric Gales pushed him toward a wider blues-rock vocabulary and specific guitar techniques.","source:kingfish-guitar-world-2026","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:023","howlin-wolf--james-cotton","entity:howlin-wolf","entity:james-cotton","recorded_with","symmetric","directly_documented","James Cotton played harmonica on a 1952 Howlin’ Wolf recording for Chess, directly documenting their studio collaboration.","source:james-cotton-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:031","jimmy-reed--john-hammond","entity:jimmy-reed","entity:john-hammond","influenced_style","directed","contextual_or_inferential","The Blues Foundation biography identifies hearing Jimmy Reed as a formative inspiration in Hammond's turn toward blues performance.","source:john-hammond-blues-foundation","reviewed","none","2026-07-22"
