"corpus_version","generated_at","license","methodology_url","id","slug","name","entityType","summary","dateDisplay","regions","styles","roles","instruments","sourceIds","featuredVideo","reviewStatus","lastReviewed"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:albert-collins","albert-collins","Albert Collins","artist","Texas electric blues guitarist and singer known for sharply articulated Telecaster lines, alternate tunings and an immediately recognizable cutting tone.","1932 – 1993","Texas","Texas blues; Electric blues","Singer; Songwriter; Guitarist","Electric guitar","source:albert-collins-blues-foundation","{""platform"":""youtube"",""videoId"":""6yvpqiWHARI"",""title"":""Frosty"",""sourceUrl"":""https://www.youtube.com/watch?v=6yvpqiWHARI"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:albert-king","albert-king","Albert King","artist","A left-handed, upside-down guitar attack whose string-bending vocabulary was studied closely by Stevie Ray Vaughan and Eric Clapton.","1923 – 1992","Mississippi → Memphis","","","","","{""platform"":""youtube"",""videoId"":""mEHx5jy50w4"",""title"":""I'll Play the Blues for You"",""sourceUrl"":""https://www.youtube.com/watch?v=mEHx5jy50w4"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:albert-white","albert-white","Albert White","artist","Albert White is a blues musician, guitarist and songwriter.","1942 –","United States","Blues; Electric Blues","Musician; Guitarist; Songwriter","Guitar","source:encyclopedia-albert-white; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""cASHemgc81Q"",""title"":""ALBERT WHITE"",""sourceUrl"":""https://www.youtube.com/watch?v=cASHemgc81Q"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:alberta-hunter","alberta-hunter","Alberta Hunter","artist","Alberta Hunter was a blues singer, jazz musician and musician.","1895 – 1984","United States","Blues","Singer; Jazz Musician; Musician","Voice","source:encyclopedia-alberta-hunter; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""xdm2WraQosE"",""title"":""Chirping The Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=xdm2WraQosE"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:alec-seward","alec-seward","Alec Seward","artist","Alec Seward was a blues singer, songwriter and guitarist.","1902 – 1972","United States","Blues; Country Blues","Singer; Songwriter; Guitarist","Guitar; Voice","source:encyclopedia-alec-seward; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""ig2X7em-3FI"",""title"":""Alec Seward Creepin' Blues (1965)"",""sourceUrl"":""https://www.youtube.com/watch?v=ig2X7em-3FI"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:ali-farka-toure","ali-farka-toure","Ali Farka Touré","artist","A Malian guitarist who, upon first hearing John Lee Hooker, recognized the resemblance to his own region's music — closing the loop between American blues and the West African traditions often cited as its distant ancestor.","1939 – 2006","Niafunké, Mali","","","","","{""platform"":""youtube"",""videoId"":""1PKdK_68r0A"",""title"":""Kala Djula (with Toumani Diabaté)"",""sourceUrl"":""https://www.youtube.com/watch?v=1PKdK_68r0A"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:ally-venable","ally-venable","Ally Venable","artist","Texas singer-guitarist whose contemporary blues-rock recordings pair original songs with collaborations across the modern electric-blues scene.","","Texas","Contemporary blues; Blues rock; Electric blues","Singer; Songwriter; Guitarist","Guitar","source:ally-venable-official-bio","{""platform"":""youtube"",""videoId"":""vCM00X-lmbU"",""title"":""Texas Louisiana (with Buddy Guy)"",""sourceUrl"":""https://www.youtube.com/watch?v=vCM00X-lmbU"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:amos-milburn","amos-milburn","Amos Milburn","artist","Amos Milburn was a blues singer-songwriter, musician and pianist.","1927 – 1980","United States","Blues; Rhythm And Blues","Singer-Songwriter; Musician; Pianist","Piano","source:encyclopedia-amos-milburn; source:wikipedia-list-blues-musicians-discovery; source:carnegie-hall-rhythm-blues","{""platform"":""youtube"",""videoId"":""xblhB5bgdCo"",""title"":""Amos Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=xblhB5bgdCo"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:animals","animals","The Animals","ensemble","Translated American blues and R&B (including John Lee Hooker's boogie feel) into hits that reintroduced the material to American radio audiences.","formed 1962","Newcastle","","","","","","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:aron-burton","aron-burton","Aron Burton","artist","Aron Burton was a blues songwriter.","1938 – 2016","United States","Blues; Chicago Blues","Songwriter","Guitar; Voice; Bass","source:encyclopedia-aron-burton; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""N--MhJ1LdfE"",""title"":""Good Idea At The Time"",""sourceUrl"":""https://www.youtube.com/watch?v=N--MhJ1LdfE"",""lastChecked"":""2026-07-22""}","needs_revision",""
